CMAT_Code,CMAT_Description
1016236,BL2 PPC 7000
1016240,BL2 BPC 7000
1050364,VL2 PPC 9000 EX
1050365,VL2 PPC 7000 EX
1050366,VL2 PPC 1000 EX
1050367,VL2 PPC 2000 EX
1050368,VL2 PPC 3000 EX
1054023,VL2 BPC 9000 EX
1054024,VL2 BPC 7000 EX
1054025,VL2 BPC 3000 EX
1054027,VL2 BPC 2000 EX
1054028,VL2 BPC 1000 EX
1099299,BL2 BPC 1101
1099302,BL2 BPC 2101
1099306,BL2 PPC 3101
1099309,BL2 BPC 7101
1099311,BL2 BPC 9101
1099318,BL2 PPC 15.6 2101
1099319,BL2 PPC 15.6 3101
1099320,BL2 PPC 15.6 7101
1099321,BL2 PPC 15.6 9101
1099324,BL2 PPC 18.5 2101
1099325,BL2 PPC 18.5 3101
1099327,BL2 PPC 18.5 7101
1099328,BL2 PPC 18.5 9101
1099331,BL2 PPC 21.5 2101
1099332,BL2 PPC 21.5 3101
1099333,BL2 PPC 21.5 7101
1099334,BL2 PPC 21.5 9101
1105772,BL2 BPC 1100
1105773,BL2 BPC 2100
1105776,BL2 BPC 3100
1105777,BL2 BPC 7100
1105778,BL2 BPC 9100
1105780,BL2 PPC 2100
1105781,BL2 PPC 3100
1105782,BL2 PPC 7100
1105783,BL2 PPC 9100
1107937,DL PPC15M 2000
1130669,BL2 BPC 1501E
1130682,BL2 BPC 1501S
1138366,BL2 PPC AIO65 2000
1138367,BL2 PPC AIO65 7000
1138377,BL2 PPC 1200
1139136,BL2 PPC10 1201
1139137,BL2 PPC7 1201
1141843,BL2 BPC 1501E-W
1141904,BL2 BPC 1501S-W
1158231,BL2 BPC 1501E-W-128-W10-T
1158235,BL2 BPC 1501E-128-W10
1158241,BL2 BPC 1501E-64-W10
1158243,BL2 BPC 1501E-128-W10-T
1158244,BL2 BPC 1501E-W-64-W10-T
1158245,BL2 BPC 1501E-W-128-W10
1158247,BL2 BPC 1501E-64-W10-T
1158252,BL2 BPC 1501E-W-64-W10
1376797,VL3 BPC
1376798,VL3 PPC
1433147,VL3 UPC 1320
1433148,VL3 UPC 1110
1433152,VL3 UPC 2430
1459506,VL3 UPC
2400015,DL PPC18.5M 7000
2400016,DL PPC21.5M 7000
2400017,DL PPC15M 7000
2400063,BL RM 2U
2400064,BL RM 4U
2400080,BL BPC 3001
2400081,BL BPC 7001
2400082,BL BPC 3000
2400083,BL BPC 7000
2400183,VL BPC 3000
2400184,VL PPC 3000
2400332,VL2 BPC 2000
2400333,VL2 BPC 7000
2400334,VL2 PPC 2000
2400346,VL2 PPC 7000
2400473,VL  PPC8 1000
2400492,VL2 BPC 3000
2400498,VL2 PPC 3000
2400499,VL2 BPC 9000
2400500,VL2 PPC 9000
2400515,BL FPM 21.5
2402759,VL BPC 2000
2402760,VL PPC 2000
2402980,BL FPM 15.6
2402981,BL FPM 18.5
2403046,VL2 BPC 1000
2403047,VL2 PPC 1000
2403708,VL2 PPC7 1000
2403709,VL2 PPC9 1000
2403710,VL2 PPC12 1000
2404777,BL2 BPC 1000
2404844,BL2 BPC 2000
2404845,BL2 PPC 1000
2404846,BL2 PPC 2000
2700773,VL BPC MINI
2701127,P7000
2701290,VL BPC 1001
2701291,VL BPC 1000
2701336,BL PPC12 1000
2701337,BL PPC17 1000
2701338,BL PPC15 1000
2701393,BL PPC15 3000
2701394,BL PPC17 3000
2701395,BL PPC15 7000
2701396,BL PPC17 7000
2701397,BL PPC 3000
