Sales document number,Sales position,Delivery number,Delivery position,Serial number,Material  ,Product key, Net price ,Currency,Country key,Created on,Possibly not the right Serial number
1313296024,6000,8220037165,10,2125MW0241,1158241-04,DRBABA,437.14,EUR,IT,1/3/2022,0
1313296024,6000,8220037165,10,2125MW0278,1158241-04,DRBABA,437.14,EUR,IT,1/3/2022,0
1313296024,6000,8220037165,10,2135MW0201,1158241-04,DRBABA,437.14,EUR,IT,1/3/2022,0
1313296024,6000,8220037165,10,2135MW0215,1158241-04,DRBABA,437.14,EUR,IT,1/3/2022,0
1313296024,6000,8220037165,10,2135MW0224,1158241-04,DRBABA,437.14,EUR,IT,1/3/2022,0
1314144045,1000,8220031451,10,2120MW0250,1016236,DRBABB,"1,196.25",EUR,IT,1/3/2022,0
1314115050,1000,8220037501,10,TSCB41008891,2402981-09,DRBABD,783.48,EUR,IT,1/3/2022,0
1314115050,2000,8220037502,10,8.22E+15,2404774-00,DRBAAZ,42.74,EUR,IT,1/3/2022,1
1314078616,1000,8220034906,10,2035872568,1105782,DRBABB,"1,534.50",EUR,IT,1/3/2022,0
1314190144,39000,8220036164,620,2035433244,1185423-02,DRBABE,570.03,EUR,UA,1/3/2022,0
1314177453,2000,8220031473,100,2135MW0251,1158241-04,DRBABA,565.53,EUR,IT,1/3/2022,0
1314177453,2000,8220031473,100,2135MW0270,1158241-04,DRBABA,565.53,EUR,IT,1/3/2022,0
1314089444,1000,8220032062,10,2144B01485,2404770-00,DRBAAZ,562.5,EUR,DE,1/3/2022,0
1313996608,4000,8220034654,20,2136MW0265,1130682-03,DRBABA,262.24,EUR,IT,1/3/2022,0
1313996608,4000,8220034654,20,2136MW0191,1130682-03,DRBABA,262.24,EUR,IT,1/3/2022,0
1313996608,4000,8220034654,20,2136MW0197,1130682-03,DRBABA,262.24,EUR,IT,1/3/2022,0
1313996608,4000,8220034654,20,2136MW0245,1130682-03,DRBABA,262.24,EUR,IT,1/3/2022,0
1313996608,4000,8220034654,20,2136MW0252,1130682-03,DRBABA,262.24,EUR,IT,1/3/2022,0
1313996608,3000,8220031880,120,2136MW0258,1130682-03,DRBABA,262.24,EUR,IT,1/3/2022,0
1313996608,3000,8220031880,120,2136MW0234,1130682-03,DRBABA,262.24,EUR,IT,1/3/2022,0
1313996608,3000,8220031880,120,2136MW0237,1130682-03,DRBABA,262.24,EUR,IT,1/3/2022,0
1313996608,3000,8220031880,120,2136MW0241,1130682-03,DRBABA,262.24,EUR,IT,1/3/2022,0
1313996608,3000,8220031880,120,2136MW0242,1130682-03,DRBABA,262.24,EUR,IT,1/3/2022,0
1314166206,5000,8220037484,10,AX20202003,2403082-00,DRBBAZ,127.1,EUR,IT,1/3/2022,0
1314137606,1000,8220034121,10,2035872597,1066254-00,DRBADZ,184.64,EUR,IE,1/3/2022,0
1313963449,5000,8220031880,70,2136MW0263,1130682-03,DRBABA,262.24,EUR,IT,1/3/2022,0
1313993685,1000,8220037538,10,2117B00778,1071065-06,DRBAAB,"3,394.41",EUR,RO,1/3/2022,0
1313993685,1000,8220037538,10,2117B00758,1071065-06,DRBAAB,"3,394.41",EUR,RO,1/3/2022,0
1313944223,1000,8220032794,10,2120MW0185,1016236,DRBABB,"1,606.00",EUR,IT,1/3/2022,0
1313981043,1000,8220031880,100,2136MW0256,1130682-03,DRBABA,262.24,EUR,IT,1/3/2022,0
1313959032,14000,8220031880,40,2136MW0251,1130682-03,DRBABA,262.24,EUR,IT,1/3/2022,0
1313959032,21000,8220031880,50,2136MW0208,1130682-03,DRBABA,262.24,EUR,IT,1/3/2022,0
1314003726,1000,8220036870,10,2117B00818,1071065-06,DRBAAB,"4,013.71",EUR,DE,1/3/2022,0
1314003725,1000,8220036869,10,2117B00732,1071065-06,DRBAAB,"4,013.71",EUR,DE,1/3/2022,0
1313976684,1000,8220031880,90,2136MW0190,1130682-03,DRBABA,262.24,EUR,IT,1/3/2022,0
1313926663,1000,8220037456,10,TSCB51013372,2402980-09,DRBABD,657.25,EUR,IT,1/3/2022,0
1313926663,1000,8220037456,10,TSCB51013388,2402980-09,DRBABD,657.25,EUR,IT,1/3/2022,0
1313926663,2000,8220034788,10,2118MW0009,2404844,DRBABA,638,EUR,IT,1/3/2022,0
1313926663,2000,8220034788,10,2118MW0031,2404844,DRBABA,638,EUR,IT,1/3/2022,0
1314125501,18000,8220044164,20,2122MW0274,1071075-06,DRBAAB,"3,507.50",EUR,PT,1/4/2022,0
1314077923,1000,8220044792,10,2122B01011,1060260-06,DRBABA,686,EUR,DE,1/4/2022,0
1314077923,1000,8220044792,10,2122B00987,1060260-06,DRBABA,686,EUR,DE,1/4/2022,0
1314077923,1000,8220044792,10,2122B00994,1060260-06,DRBABA,686,EUR,DE,1/4/2022,0
1314077923,1000,8220044792,10,2122B01039,1060260-06,DRBABA,686,EUR,DE,1/4/2022,0
1314077923,1000,8220044792,10,2122B01090,1060260-06,DRBABA,686,EUR,DE,1/4/2022,0
1314077923,1000,8220044792,10,2122B00995,1060260-06,DRBABA,686,EUR,DE,1/4/2022,0
1314077923,1000,8220044792,10,2122B01006,1060260-06,DRBABA,686,EUR,DE,1/4/2022,0
1314077923,1000,8220044792,10,2122B01124,1060260-06,DRBABA,686,EUR,DE,1/4/2022,0
1314077923,1000,8220044792,10,2122B00958,1060260-06,DRBABA,686,EUR,DE,1/4/2022,0
1314077923,1000,8220044792,10,2122B00988,1060260-06,DRBABA,686,EUR,DE,1/4/2022,0
1314167848,3000,8220044091,10,2122MW0288,1050364,DRBAAB,"29,333.33",NOK,NO,1/4/2022,0
1314167848,3000,8220044091,10,2122MW0304,1050364,DRBAAB,"29,333.33",NOK,NO,1/4/2022,0
1314190832,4000,8220043765,580,2135MW0204,1158241-04,DRBABA,"5,164.74",NOK,NO,1/4/2022,0
1314190832,4000,8220043765,580,2135MW0228,1158241-04,DRBABA,"5,164.74",NOK,NO,1/4/2022,0
1314190832,4000,8220043765,580,2135MW0239,1158241-04,DRBABA,"5,164.74",NOK,NO,1/4/2022,0
1314190832,4000,8220043765,580,2135MW0280,1158241-04,DRBABA,"5,164.74",NOK,NO,1/4/2022,0
1314166017,1000,8220041542,10,2133B00163,1050368,DRBAAB,"1,874.40",EUR,IN,1/4/2022,0
1314166017,1000,8220041542,10,2133B00184,1050368,DRBAAB,"1,874.40",EUR,IN,1/4/2022,0
1314022061,4000,8220043244,80,2035841712,1213478-00,DRBABA,"5,249.37",NOK,NO,1/4/2022,0
1314022061,4000,8220043244,80,2035872589,1213478-00,DRBABA,"5,249.37",NOK,NO,1/4/2022,0
1313858040,16000,8220043345,10,AX20195455,2403897-00,DRBBAF,306.82,EUR,IT,1/4/2022,0
1313858040,16000,8220043345,10,AX20198700,2403897-00,DRBBAF,306.82,EUR,IT,1/4/2022,0
1314199965,3000,8220043905,80,2035872650,1185416-02,DRBABE,354.01,EUR,ES,1/4/2022,0
1314199871,3000,8220041756,30,2137MW0575,1163690-00,DRBABZ,28.24,EUR,DE,1/4/2022,0
1314171035,1000,8220047095,10,2117B00706,2400346,DRBAAB,"3,703.15",EUR,DE,1/5/2022,0
1314095199,1000,8220052003,10,2035872651,1105781,DRBABB,"1,796,820.00",EUR,DE,1/5/2022,0
1314129302,2000,8220049633,90,2136MW0199,1130682-03,DRBABA,284.19,EUR,IT,1/5/2022,0
1314129302,9000,8220049633,120,2136MW0217,1130682-03,DRBABA,284.19,EUR,IT,1/5/2022,0
1314129302,9000,8220049633,120,2136MW0224,1130682-03,DRBABA,284.19,EUR,IT,1/5/2022,0
1314129302,2000,8220049633,90,2136MW0186,1130682-03,DRBABA,284.19,EUR,IT,1/5/2022,0
1314091463,21000,8220049339,120,2035872638,1213479-00,DRBABA,"7,168.25",NOK,NO,1/5/2022,0
1314156754,1000,8220046192,10,2025B00279,2400334,DRBAAB,"1,803.00",EUR,AT,1/5/2022,0
1314176870,12000,8220052594,30,2035872639,1213479-00,DRBABA,"7,168.25",NOK,NO,1/5/2022,0
1314148533,1000,8220046512,10,2025B00247,2400334,DRBAAB,"1,461.00",EUR,CH,1/5/2022,0
1314168051,2000,8220052315,20,2124MW0217,1272687-00,DRBABA,900,EUR,DE,1/5/2022,0
1314168051,2000,8220052315,20,2124MW0240,1272687-00,DRBABA,900,EUR,DE,1/5/2022,0
1314167821,1000,8220049339,290,2035872637,1213479-00,DRBABA,"7,168.25",NOK,NO,1/5/2022,0
1314177510,1000,8220047475,10,2035872599,1105777,DRBABA,990,EUR,IT,1/5/2022,0
1314178371,46000,8220049237,320,2035433242,1185423-02,DRBABE,751.41,USD,US,1/5/2022,0
1314167826,1000,8220050695,20,2035872640,1213479-00,DRBABA,"7,168.25",NOK,NO,1/5/2022,0
1314172341,19000,8220047520,10,2035872600,1105778,DRBABA,"13,536.07",NOK,NO,1/5/2022,0
1314205871,39000,8220049289,700,8.22E+15,2400173-00,DRBAAZ,25.47,EUR,FR,1/5/2022,1
1314196203,30000,8220049413,110,2035872602,1185416-02,DRBABE,342.51,EUR,NL,1/5/2022,0
1314196978,14000,8220050098,10,P20709860,1274014-00,DRBABB,779.26,EUR,AT,1/5/2022,0
1314196978,14000,8220050098,10,P21302725,1274014-00,DRBABB,779.26,EUR,AT,1/5/2022,0
1314203791,8000,8220049444,10,TSCB41008911,2402981-09,DRBABD,599.47,EUR,IT,1/5/2022,0
1314054720,1000,8220055539,10,8.22E+15,1160212-00,DRBABZ, -   ,EUR,DE,1/6/2022,1
1314048621,2000,8220055174,20,2.02E+11,1187507-02,DRBABZ,996.19,EUR,DE,1/6/2022,0
1313770832,3000,8220055171,10,2.02E+11,1187507-02,DRBABZ,996.19,EUR,DE,1/6/2022,0
1313770832,3000,8220055171,10,2.02E+11,1187507-02,DRBABZ,996.19,EUR,DE,1/6/2022,0
1313770832,3000,8220055171,10,2.02E+11,1187507-02,DRBABZ,996.19,EUR,DE,1/6/2022,0
1313770832,3000,8220055171,10,2.02E+11,1187507-02,DRBABZ,996.19,EUR,DE,1/6/2022,0
1314189748,40000,8220058795,10,2035872634,1185416-02,DRBABE,401.09,EUR,ES,1/6/2022,0
1314189748,40000,8220058795,10,2035872604,1185416-02,DRBABE,401.09,EUR,ES,1/6/2022,0
1314189748,40000,8220058795,10,2035872606,1185416-02,DRBABE,401.09,EUR,ES,1/6/2022,0
1314189748,40000,8220058795,10,2035872633,1185416-02,DRBABE,401.09,EUR,ES,1/6/2022,0
1314166339,34000,8220057766,190,2035872636,1185416-02,DRBABE,401.09,EUR,ES,1/6/2022,0
1314166339,34000,8220057766,190,2035872645,1185416-02,DRBABE,401.09,EUR,ES,1/6/2022,0
1314166339,34000,8220057766,190,2035872601,1185416-02,DRBABE,401.09,EUR,ES,1/6/2022,0
1314166339,34000,8220057766,190,2035872603,1185416-02,DRBABE,401.09,EUR,ES,1/6/2022,0
1313779553,4000,8220057005,30,2144B01397,2404770-00,DRBAAZ,465.75,EUR,AT,1/6/2022,0
1313864842,1000,8220056637,10,2139MW0005,1339415-00,DRBABC,"1,226.50",EUR,DE,1/6/2022,0
