Sales document number,Sales position,Delivery number,Delivery position,Serial number,Material,Product key,Net price,Currency,Country key,Created on,Possibly not the right Serial number
1314043567,1000,8220032281,10,23198864,1047323-00,DRBAAB,246.84,EUR,CZ,1/3/2022,0
1314043567,2000,8220032281,20,8220032281000020,1047367-00,DRBAAZ,52.27,EUR,CZ,1/3/2022,1
1314043567,3000,8220032281,30,8220032281000030,1047373-00,DRBABA,261.36,EUR,CZ,1/3/2022,1
1314177453,3000,8220031473,110,202111035073,2400456-06,DRBABB,905.85,EUR,IT,1/3/2022,0
1314087829,2000,8220031474,10,202112145175,1148693-01,DRCABB,574.98,EUR,IT,1/3/2022,0
1314179843,1000,8220032898,60,E213200362,1190420-00,DRCABB,652.73,EUR,PL,1/3/2022,0
1314100511,3000,8220032763,10,CI3521648385,1050387-09,DRCABC,121.00,EUR,CZ,1/3/2022,0
1314100511,3000,8220032763,10,CI3521648396,1050387-09,DRCEBC,121.00,EUR,CZ,1/3/2022,0
1314100511,3000,8220032763,10,CI3521648398,1050387-09,DRCEBC,121.00,EUR,CZ,1/3/2022,0
1314100511,3000,8220032763,10,CI3521648399,1050387-09,DRBAAB,121.00,EUR,CZ,1/3/2022,0
1314100511,3000,8220032763,10,CI3521648400,1050387-09,DRBAAB,121.00,EUR,CZ,1/3/2022,0
1313987750,3000,8220033311,10,202112175063,2404519,DRBAAB,720.00,EUR,IT,1/3/2022,0
1313987750,3000,8220033311,10,202112175064,2404519,DRBAAB,720.00,EUR,IT,1/3/2022,0
1314193784,6000,8220033667,90,CI3921688227,1060630-03,DRBAAH,301.74,EUR,SG,1/3/2022,0
1313853912,14000,8220033792,10,202112095014,2400452-06,DRBAAZ,394.35,EUR,IT,1/3/2022,0
1313469409,4000,8220035415,10,202112225006,2403465-04,DRBAAZ,828.23,USD,CA,1/3/2022,0
1314133504,1000,8220037497,150,CI4021697823,1046666-08,DRBABA,275.19,EUR,IT,1/3/2022,0
1314133504,1000,8220037497,150,CI4021697794,1046666-08,DRBABA,275.19,EUR,IT,1/3/2022,0
1314133504,1000,8220037497,150,CI4021697795,1046666-08,DRBABA,275.19,EUR,IT,1/3/2022,0
1314133504,1000,8220037497,150,CI4021697796,1046666-08,DRBABB,275.19,EUR,IT,1/3/2022,0
1314133504,1000,8220037497,150,CI4021697797,1046666-08,DRBABB,275.19,EUR,IT,1/3/2022,0
1314133504,1000,8220037497,150,CI4021697819,1046666-08,DRBABE,275.19,EUR,IT,1/3/2022,0
1314133504,1000,8220037497,150,CI4021697820,1046666-08,DRBADC,275.19,EUR,IT,1/3/2022,0
1314133504,1000,8220037497,150,CI4021697833,1046666-08,DRBADC,275.19,EUR,IT,1/3/2022,0
1314133504,1000,8220037497,150,CI4021697834,1046666-08,DRCAAB,275.19,EUR,IT,1/3/2022,0
1314133504,1000,8220037497,150,CI4021697841,1046666-08,DRCABB,275.19,EUR,IT,1/3/2022,0
1314133504,1000,8220037497,150,CI4021697842,1046666-08,DRCABD,275.19,EUR,IT,1/3/2022,0
1314133504,1000,8220037497,150,CI4021697843,1046666-08,DRCACC,275.19,EUR,IT,1/3/2022,0
1314133504,1000,8220037497,150,CI4021697921,1046666-08,DRCDBA,275.19,EUR,IT,1/3/2022,0
1314133504,1000,8220037497,150,CI4021698646,1046666-08,DRCEBC,275.19,EUR,IT,1/3/2022,0
1314133504,1000,8220037497,150,CI4021697930,1046666-08,DRBAAA,275.19,EUR,IT,1/3/2022,0
1314133504,1000,8220037497,150,CI4021698644,1046666-08,DRBAAA,275.19,EUR,IT,1/3/2022,0
1314133504,1000,8220037497,150,CI4021698645,1046666-08,DRBAAA,275.19,EUR,IT,1/3/2022,0
1314133504,1000,8220037497,150,CI4021698647,1046666-08,DRBAAA,275.19,EUR,IT,1/3/2022,0
1314198788,74000,8220039404,10,202112145103,1148690-01,DRBAAA,"1,334.97",USD,US,1/4/2022,0
1314159745,15000,8220037430,110,8220037430000110,2701379-00,DRBAAB,5.44,EUR,IT,1/3/2022,1
1313953826,4000,8220039481,10,CI3521648397,1050387-09,DRBAAB,149.38,EUR,IT,1/4/2022,0
1313965441,7000,8220039481,20,CI3521648403,1050387-09,DRBAAB,149.38,EUR,IT,1/4/2022,0
1314179341,5000,8220040389,140,CI4721742634,1046666-10,DRBAAB,189.72,EUR,ES,1/4/2022,0
1314179341,5000,8220040389,140,CI4721742635,1046666-10,DRBAAB,189.72,EUR,ES,1/4/2022,0
1314179341,5000,8220040389,140,CI4721742640,1046666-10,DRBAAB,189.72,EUR,ES,1/4/2022,0
820047606,9000,8220040797,10,CI3521648382,1050387-09,DRBAAB,121.77,EUR,GR,1/4/2022,0
1314159745,19000,8220041946,30,8220041946000030,2701379-00,DRBAAB,5.44,EUR,IT,1/4/2022,1
1314159745,17000,8220041946,10,8220041946000010,2701379-00,DRBAAB,5.44,EUR,IT,1/4/2022,1
1314159745,18000,8220041946,20,8220041946000020,2701379-00,DRBAAB,5.44,EUR,IT,1/4/2022,1
1313360317,2000,8220042163,10,202112225018,2401688-01,DRBAAB,840.96,EUR,DE,1/4/2022,0
1313360317,2000,8220042163,10,202112225015,2401688-01,DRBAAB,840.96,EUR,DE,1/4/2022,0
1313360317,2000,8220042163,10,202112225017,2401688-01,DRBAAB,840.96,EUR,DE,1/4/2022,0
1313360317,2000,8220042163,10,202112225020,2401688-01,DRBAAC,840.96,EUR,DE,1/4/2022,0
1313360317,2000,8220042163,10,202112225021,2401688-01,DRBAAZ,840.96,EUR,DE,1/4/2022,0
1313360317,2000,8220042163,10,202112225022,2401688-01,DRBAAZ,840.96,EUR,DE,1/4/2022,0
1313360317,2000,8220042163,10,202112225016,2401688-01,DRBAAZ,840.96,EUR,DE,1/4/2022,0
1313360317,2000,8220042163,10,202112225019,2401688-01,DRBAAZ,840.96,EUR,DE,1/4/2022,0
1313360317,2000,8220042163,10,202112225023,2401688-01,DRBAAZ,840.96,EUR,DE,1/4/2022,0
1313360317,2000,8220042163,10,202112225024,2401688-01,DRBABA,840.96,EUR,DE,1/4/2022,0
1314200114,19000,8220043335,10,202111195070,1148691-01,DRBABA,852.39,EUR,CH,1/4/2022,0
1314199211,14000,8220043894,1330,CI3921687560,1060630-03,DRBABA,329.49,EUR,IT,1/4/2022,0
1314200549,30000,8220043891,10,202111265016,2403466-04,DRBABA,"1,359.57",EUR,PL,1/4/2022,0
1314199211,14000,8220043894,1330,CI3921688180,1060630-03,DRBABA,329.49,EUR,IT,1/4/2022,0
1314199211,14000,8220043894,1330,CI3921688181,1060630-03,DRBABA,329.49,EUR,IT,1/4/2022,0
1314199211,14000,8220043894,1330,CI3921688182,1060630-03,DRBABA,329.49,EUR,IT,1/4/2022,0
1314199211,14000,8220043894,1330,CI3921688183,1060630-03,DRBABA,329.49,EUR,IT,1/4/2022,0
1314199211,14000,8220043894,1330,CI3921688199,1060630-03,DRBABA,329.49,EUR,IT,1/4/2022,0
1314199211,14000,8220043894,1330,CI3921688200,1060630-03,DRBABA,329.49,EUR,IT,1/4/2022,0
1314199211,14000,8220043894,1330,CI3921688205,1060630-03,DRBABA,329.49,EUR,IT,1/4/2022,0
1314199211,14000,8220043894,1330,CI3921688206,1060630-03,DRBABA,329.49,EUR,IT,1/4/2022,0
1314199211,14000,8220043894,1330,CI3921687561,1060630-03,DRBABA,329.49,EUR,IT,1/4/2022,0
1314199211,14000,8220043894,1330,CI3921687566,1060630-03,DRBABA,329.49,EUR,IT,1/4/2022,0
1314199211,14000,8220043894,1330,CI3921687567,1060630-03,DRBABA,329.49,EUR,IT,1/4/2022,0
1314199211,14000,8220043894,1330,CI3921687571,1060630-03,DRBABA,329.49,EUR,IT,1/4/2022,0
1314199211,14000,8220043894,1330,CI3921687572,1060630-03,DRBABB,329.49,EUR,IT,1/4/2022,0
1314199211,14000,8220043894,1330,CI3921687577,1060630-03,DRBABB,329.49,EUR,IT,1/4/2022,0
1314199211,14000,8220043894,1330,CI3921687578,1060630-03,DRBABB,329.49,EUR,IT,1/4/2022,0
1314199211,14000,8220043894,1330,CI3921687644,1060630-03,DRBABB,329.49,EUR,IT,1/4/2022,0
1314199211,14000,8220043894,1330,CI3921687645,1060630-03,DRBABB,329.49,EUR,IT,1/4/2022,0
1314199211,14000,8220043894,1330,CI3921687646,1060630-03,DRBABB,329.49,EUR,IT,1/4/2022,0
1314199211,14000,8220043894,1330,CI3921687647,1060630-03,DRBABB,329.49,EUR,IT,1/4/2022,0
