,IPC_Serial_No,Sell_Date,Country,Sale_Price_EUR
0,2125MW0241,2022-01-03,IT,437.14
1,2125MW0278,2022-01-03,IT,437.14
2,2135MW0201,2022-01-03,IT,437.14
3,2135MW0215,2022-01-03,IT,437.14
4,2135MW0224,2022-01-03,IT,437.14
5,2120MW0250,2022-01-03,IT,1196.25
6,TSCB41008891,2022-01-03,IT,783.48
7,2035872568,2022-01-03,IT,1534.5
8,2035433244,2022-01-03,UA,570.03
9,2135MW0251,2022-01-03,IT,565.53
10,2135MW0270,2022-01-03,IT,565.53
11,2144B01485,2022-01-03,DE,562.5
12,2136MW0265,2022-01-03,IT,262.24
13,2136MW0191,2022-01-03,IT,262.24
14,2136MW0197,2022-01-03,IT,262.24
15,2136MW0245,2022-01-03,IT,262.24
16,2136MW0252,2022-01-03,IT,262.24
17,2136MW0258,2022-01-03,IT,262.24
18,2136MW0234,2022-01-03,IT,262.24
19,2136MW0237,2022-01-03,IT,262.24
20,2136MW0241,2022-01-03,IT,262.24
21,2136MW0242,2022-01-03,IT,262.24
22,AX20202003,2022-01-03,IT,127.1
23,2035872597,2022-01-03,IE,184.64
24,2136MW0263,2022-01-03,IT,262.24
25,2117B00778,2022-01-03,RO,3394.41
26,2117B00758,2022-01-03,RO,3394.41
27,2120MW0185,2022-01-03,IT,1606.0
28,2136MW0256,2022-01-03,IT,262.24
29,2136MW0251,2022-01-03,IT,262.24
30,2136MW0208,2022-01-03,IT,262.24
31,2117B00818,2022-01-03,DE,4013.71
32,2117B00732,2022-01-03,DE,4013.71
33,2136MW0190,2022-01-03,IT,262.24
34,TSCB51013372,2022-01-03,IT,657.25
35,TSCB51013388,2022-01-03,IT,657.25
36,2118MW0009,2022-01-03,IT,638.0
37,2118MW0031,2022-01-03,IT,638.0
38,2122MW0274,2022-01-04,PT,3507.5
39,2122B01011,2022-01-04,DE,686.0
40,2122B00987,2022-01-04,DE,686.0
41,2122B00994,2022-01-04,DE,686.0
42,2122B01039,2022-01-04,DE,686.0
43,2122B01090,2022-01-04,DE,686.0
44,2122B00995,2022-01-04,DE,686.0
45,2122B01006,2022-01-04,DE,686.0
46,2122B01124,2022-01-04,DE,686.0
47,2122B00958,2022-01-04,DE,686.0
48,2122B00988,2022-01-04,DE,686.0
49,2122MW0288,2022-01-04,NO,2929.290579000979
50,2122MW0304,2022-01-04,NO,2929.290579000979
51,2135MW0204,2022-01-04,NO,515.7622480976253
52,2135MW0228,2022-01-04,NO,515.7622480976253
53,2135MW0239,2022-01-04,NO,515.7622480976253
54,2135MW0280,2022-01-04,NO,515.7622480976253
55,2133B00163,2022-01-04,IN,1874.4
56,2133B00184,2022-01-04,IN,1874.4
57,2035841712,2022-01-04,NO,524.2135852523518
58,2035872589,2022-01-04,NO,524.2135852523518
59,AX20195455,2022-01-04,IT,306.82
60,AX20198700,2022-01-04,IT,306.82
61,2035872650,2022-01-04,ES,354.01
62,2137MW0575,2022-01-04,DE,28.24
63,2117B00706,2022-01-05,DE,3703.15
64,2035872651,2022-01-05,DE,1796820.0
65,2136MW0199,2022-01-05,IT,284.19
66,2136MW0217,2022-01-05,IT,284.19
67,2136MW0224,2022-01-05,IT,284.19
68,2136MW0186,2022-01-05,IT,284.19
69,2035872638,2022-01-05,NO,719.1839232683201
70,2025B00279,2022-01-05,AT,1803.0
71,2035872639,2022-01-05,NO,719.1839232683201
72,2025B00247,2022-01-05,CH,1461.0
73,2124MW0217,2022-01-05,DE,900.0
74,2124MW0240,2022-01-05,DE,900.0
75,2035872637,2022-01-05,NO,719.1839232683201
76,2035872599,2022-01-05,IT,990.0
77,2035433242,2022-01-05,US,663.8483965014577
78,2035872640,2022-01-05,NO,719.1839232683201
79,2035872600,2022-01-05,NO,1358.0614415282125
80,2035872602,2022-01-05,NL,342.51
81,P20709860,2022-01-05,AT,779.26
82,P21302725,2022-01-05,AT,779.26
83,TSCB41008911,2022-01-05,IT,599.47
84,2.02E+11,2022-01-06,DE,996.19
85,2035872634,2022-01-06,ES,401.09
86,2035872604,2022-01-06,ES,401.09
87,2035872606,2022-01-06,ES,401.09
88,2035872633,2022-01-06,ES,401.09
89,2035872636,2022-01-06,ES,401.09
90,2035872645,2022-01-06,ES,401.09
91,2035872601,2022-01-06,ES,401.09
92,2035872603,2022-01-06,ES,401.09
93,2144B01397,2022-01-06,AT,465.75
94,2139MW0005,2022-01-06,DE,1226.5
95,2139MW0000,2022-01-06,DE,1226.5
96,2139MW0001,2022-01-06,DE,1226.5
97,2139MW0003,2022-01-06,DE,1226.5
98,2139MW0004,2022-01-06,DE,1226.5
99,2139MW0006,2022-01-06,DE,1226.5
100,2139MW0008,2022-01-06,DE,1226.5
101,2139MW0013,2022-01-06,DE,1226.5
102,2139MW0014,2022-01-06,DE,1226.5
103,2139MW0015,2022-01-06,DE,1226.5
104,2139MW0016,2022-01-06,DE,1226.5
105,2139MW0017,2022-01-06,DE,1226.5
106,2139MW0019,2022-01-06,DE,1226.5
107,2139MW0021,2022-01-06,DE,1226.5
108,2139MW0023,2022-01-06,DE,1226.5
109,2139MW0026,2022-01-06,DE,1226.5
110,2.02E+11,2022-01-06,DE,1026.08
111,TSCB11003769,2022-01-07,DE,0.0
112,TSCB11003782,2022-01-07,DE,0.0
113,TSCB11003773,2022-01-07,DE,0.0
114,TSCB11003768,2022-01-07,DE,0.0
115,TSCB11003770,2022-01-07,DE,0.0
116,TSCB61003375,2022-01-07,DE,0.0
117,TSCB11003759,2022-01-07,DE,0.0
118,TSCB11003766,2022-01-07,DE,0.0
119,TSCB11003786,2022-01-07,DE,0.0
120,TSCB61003369,2022-01-07,DE,0.0
121,TSCB61003381,2022-01-07,DE,0.0
122,TSCB61003368,2022-01-07,DE,0.0
123,TSCB61003367,2022-01-07,DE,0.0
124,TSCB61003374,2022-01-07,DE,0.0
125,TSCB61003371,2022-01-07,DE,0.0
126,2144B01458,2022-01-07,FR,433.95
127,2122B01069,2022-01-07,DE,686.0
128,2122B00954,2022-01-07,DE,686.0
129,2122B01127,2022-01-07,DE,686.0
130,2126B00310,2022-01-07,DE,686.0
131,2126B00349,2022-01-07,DE,686.0
132,2122B00964,2022-01-07,DE,686.0
133,2122B01072,2022-01-07,DE,686.0
134,2122B01145,2022-01-07,DE,686.0
135,2122B00991,2022-01-07,DE,686.0
136,2122B00999,2022-01-07,DE,686.0
137,2122B01068,2022-01-07,DE,686.0
138,2122B01142,2022-01-07,DE,686.0
139,2122B00963,2022-01-07,DE,686.0
140,2122B00965,2022-01-07,DE,686.0
141,2122B00993,2022-01-07,DE,686.0
142,2122B01000,2022-01-07,DE,686.0
143,2122B01027,2022-01-07,DE,686.0
144,2122B01029,2022-01-07,DE,686.0
145,2122B01049,2022-01-07,DE,686.0
146,2122B01097,2022-01-07,DE,686.0
147,2126B00324,2022-01-07,DE,686.0
148,2122B00992,2022-01-07,DE,686.0
149,2122B01002,2022-01-07,DE,686.0
150,2126B00342,2022-01-07,DE,686.0
151,2126B00352,2022-01-07,DE,686.0
152,2122B00967,2022-01-07,DE,686.0
153,2122B00996,2022-01-07,DE,686.0
154,2122B01055,2022-01-07,DE,686.0
155,2122B01108,2022-01-07,DE,686.0
156,2122B00970,2022-01-07,DE,686.0
157,2122B01016,2022-01-07,DE,686.0
158,2126B00346,2022-01-07,DE,686.0
159,2131B00899,2022-01-07,DE,686.0
160,2126B00359,2022-01-07,DE,686.0
161,2131B00863,2022-01-07,DE,686.0
162,2126B00386,2022-01-07,DE,686.0
163,2122B01050,2022-01-07,DE,686.0
164,2122B01057,2022-01-07,DE,686.0
165,2122B01067,2022-01-07,DE,686.0
166,2122B01075,2022-01-07,DE,686.0
167,TSBJA1021747,2022-01-07,DE,977.73
168,2136MW0203,2022-01-07,HU,284.65
169,2119MW0006,2022-01-07,DE,461.59
170,2119MW0028,2022-01-07,DE,461.59
171,2035433241,2022-01-07,JP,397.7998472116119
172,2035872610,2022-01-07,DE,1199.0
173,2035872605,2022-01-07,DE,1199.0
174,2035872607,2022-01-07,DE,1199.0
175,2035872608,2022-01-07,DE,1199.0
176,2035872609,2022-01-07,DE,1199.0
177,2035872611,2022-01-07,DE,1199.0
178,2035872630,2022-01-07,DE,1199.0
179,2035872612,2022-01-07,DE,1199.0
180,2035872613,2022-01-07,DE,1199.0
181,2035872629,2022-01-07,DE,1199.0
182,2035872632,2022-01-07,DE,1199.0
183,2136MW0229,2022-01-07,HU,284.65
184,2136MW0233,2022-01-07,HU,284.65
185,2136MW0253,2022-01-07,HU,284.65
186,2136MW0257,2022-01-07,HU,284.65
187,2136MW0205,2022-01-07,HU,284.65
188,2136MW0221,2022-01-07,HU,284.65
189,2136MW0230,2022-01-07,HU,284.65
190,2136MW0259,2022-01-07,HU,284.65
191,2136MW0187,2022-01-07,IT,262.24
192,TSCB61003378,2022-01-07,FR,699.51
193,P21302737,2022-01-07,KR,857.35
194,P20709849,2022-01-07,KR,857.35
195,P20709863,2022-01-07,KR,857.35
196,P20709871,2022-01-07,KR,857.35
197,P21302723,2022-01-07,KR,857.35
198,P21302739,2022-01-07,KR,857.35
199,P21302740,2022-01-07,KR,857.35
200,2035872625,2022-01-08,NO,1908.7577776005103
201,2035872626,2022-01-08,NO,1908.7577776005103
202,2148MW0215,2022-01-10,DE,530.0
203,2148MW0212,2022-01-10,DE,530.0
204,2148MW0221,2022-01-10,DE,530.0
205,2129B01635,2022-01-10,DK,1538.5
206,2119MW0097,2022-01-10,AT,341.28
207,2131B00846,2022-01-11,IN,686.4
208,2045B00765,2022-01-11,DE,3950.01
209,2045B00734,2022-01-11,DE,3950.01
210,2045B00740,2022-01-11,DE,3950.01
211,2045B00751,2022-01-11,DE,3950.01
212,2045B00757,2022-01-11,DE,3950.01
213,2045B00769,2022-01-11,DE,3950.01
214,2052B00459,2022-01-11,DE,3950.01
215,2052B00513,2022-01-11,DE,3950.01
216,2052B00539,2022-01-11,DE,3950.01
217,2052B00555,2022-01-11,DE,3950.01
218,2140MW0304,2022-01-11,IT,492.25
219,TSCB61003373,2022-01-11,AT,745.2
220,2117B00754,2022-01-11,FR,2962.43
221,2117B00806,2022-01-11,FR,2962.43
222,2122MW0327,2022-01-11,FR,2962.43
223,2122MW0331,2022-01-11,FR,2962.43
224,2148MW0210,2022-01-11,DE,530.0
225,2148MW0203,2022-01-11,DE,530.0
226,2148MW0211,2022-01-11,DE,530.0
227,2148MW0201,2022-01-11,DE,530.0
228,2148MW0207,2022-01-11,DE,530.0
229,2148MW0217,2022-01-11,DE,530.0
230,2140MW0262,2022-01-11,DE,986.86
231,2140MW0280,2022-01-11,DE,986.86
232,2140MW0285,2022-01-11,DE,986.86
233,2140MW0307,2022-01-11,DE,986.86
234,2052B00418,2022-01-11,DE,3097.28
235,2052B00489,2022-01-11,DE,3097.28
236,2140MW0252,2022-01-11,FR,432.85
237,2140MW0279,2022-01-11,FR,432.85
238,2140MW0247,2022-01-11,FR,432.85
239,2133B00129,2022-01-12,DE,2268.72
240,2113B00212,2022-01-12,EC,3593.57
241,2118MW0033,2022-01-12,DE,878.85
242,2118MW0083,2022-01-12,DE,878.85
243,2118MW0085,2022-01-12,DE,878.85
244,2118MW0065,2022-01-12,HU,670.2
245,2118MW0027,2022-01-12,HU,670.2
246,2118MW0062,2022-01-12,HU,670.2
247,2118MW0063,2022-01-12,HU,670.2
248,2119MW0069,2022-01-12,DE,457.09
249,2119MW0015,2022-01-12,DE,457.09
250,2119MW0032,2022-01-12,DE,457.09
251,2119MW0050,2022-01-12,DE,457.09
252,2119MW0067,2022-01-12,DE,457.09
253,2119MW0079,2022-01-12,DE,457.09
254,2119MW0080,2022-01-12,DE,457.09
255,2119MW0095,2022-01-12,DE,457.09
256,2119MW0086,2022-01-12,DE,457.09
257,2119MW0092,2022-01-12,DE,457.09
258,2119MW0093,2022-01-12,DE,457.09
259,2118MW0022,2022-01-12,IT,523.6
260,2118MW0077,2022-01-12,IT,523.6
261,2133B00167,2022-01-12,DE,3242.72
262,2135MW0236,2022-01-12,IT,618.95
263,2135MW0304,2022-01-12,IT,618.95
264,2140MW0242,2022-01-12,DE,1150.76
265,2140MW0219,2022-01-12,DE,1150.76
266,2140MW0225,2022-01-12,DE,1150.76
267,2140MW0228,2022-01-12,DE,1150.76
268,2140MW0234,2022-01-12,DE,1150.76
